mac,begin_time,end_time,hbase_time_consume,hbase_trace_length,postgre_time_consume,postgre_trace_length
D46E5C70656E,2014-04-01 08:00:00.0,2014-04-01 12:00:00.0,4,27,1,25
D46E5C70656E,2014-04-01 08:00:00.0,2014-04-01 13:00:00.0,3,27,2,25
D46E5C70656E,2014-04-01 08:00:00.0,2014-04-01 14:00:00.0,3,27,1,25
D46E5C70656E,2014-04-01 08:00:00.0,2014-04-01 15:00:00.0,4,34,2,32
D46E5C70656E,2014-04-01 08:00:00.0,2014-04-01 16:00:00.0,4,34,1,32
D46E5C70656E,2014-04-01 08:00:00.0,2014-04-01 17:00:00.0,4,43,2,41
D46E5C70656E,2014-04-01 08:00:00.0,2014-04-01 18:00:00.0,4,43,2,41
D46E5C70656E,2014-04-01 08:00:00.0,2014-04-01 19:00:00.0,4,45,2,45
D46E5C70656E,2014-04-01 08:00:00.0,2014-04-01 20:00:00.0,4,45,2,45
D46E5C70656E,2014-04-01 08:00:00.0,2014-04-01 21:00:00.0,4,51,2,49
D46E5C70656E,2014-04-01 08:00:00.0,2014-04-01 22:00:00.0,4,51,2,49
88CB871F5E7A,2014-04-01 08:00:00.0,2014-04-01 09:00:00.0,3,0,0,0
88CB871F5E7A,2014-04-01 08:00:00.0,2014-04-01 10:00:00.0,3,0,1,0
88CB871F5E7A,2014-04-01 08:00:00.0,2014-04-01 11:00:00.0,3,0,1,0
88CB871F5E7A,2014-04-01 08:00:00.0,2014-04-01 12:00:00.0,3,0,0,0
88CB871F5E7A,2014-04-01 08:00:00.0,2014-04-01 13:00:00.0,3,0,0,0
88CB871F5E7A,2014-04-01 08:00:00.0,2014-04-01 14:00:00.0,3,0,1,0
88CB871F5E7A,2014-04-01 08:00:00.0,2014-04-01 15:00:00.0,3,0,0,0
88CB871F5E7A,2014-04-01 08:00:00.0,2014-04-01 16:00:00.0,3,0,1,0
88CB871F5E7A,2014-04-01 08:00:00.0,2014-04-01 17:00:00.0,3,0,0,0
88CB871F5E7A,2014-04-01 08:00:00.0,2014-04-01 18:00:00.0,3,0,0,0
88CB871F5E7A,2014-04-01 08:00:00.0,2014-04-01 19:00:00.0,3,0,1,0
88CB871F5E7A,2014-04-01 08:00:00.0,2014-04-01 20:00:00.0,11,0,1,0
88CB871F5E7A,2014-04-01 08:00:00.0,2014-04-01 21:00:00.0,3,0,0,0
88CB871F5E7A,2014-04-01 08:00:00.0,2014-04-01 22:00:00.0,2,3,1,3
54E43A599247,2014-04-01 08:00:00.0,2014-04-01 09:00:00.0,3,0,0,0
54E43A599247,2014-04-01 08:00:00.0,2014-04-01 10:00:00.0,3,0,1,0
54E43A599247,2014-04-01 08:00:00.0,2014-04-01 11:00:00.0,2,0,0,0
54E43A599247,2014-04-01 08:00:00.0,2014-04-01 12:00:00.0,3,0,0,0
54E43A599247,2014-04-01 08:00:00.0,2014-04-01 13:00:00.0,4,4,1,4
54E43A599247,2014-04-01 08:00:00.0,2014-04-01 14:00:00.0,3,17,1,17
54E43A599247,2014-04-01 08:00:00.0,2014-04-01 15:00:00.0,3,17,1,17
54E43A599247,2014-04-01 08:00:00.0,2014-04-01 16:00:00.0,4,17,1,17
54E43A599247,2014-04-01 08:00:00.0,2014-04-01 17:00:00.0,3,24,2,24
54E43A599247,2014-04-01 08:00:00.0,2014-04-01 18:00:00.0,3,24,2,24
54E43A599247,2014-04-01 08:00:00.0,2014-04-01 19:00:00.0,3,24,1,24
54E43A599247,2014-04-01 08:00:00.0,2014-04-01 20:00:00.0,3,24,2,24
54E43A599247,2014-04-01 08:00:00.0,2014-04-01 21:00:00.0,4,24,1,24
54E43A599247,2014-04-01 08:00:00.0,2014-04-01 22:00:00.0,3,24,2,24
54E43A10D04D,2014-04-01 08:00:00.0,2014-04-01 09:00:00.0,2,0,1,0
54E43A10D04D,2014-04-01 08:00:00.0,2014-04-01 10:00:00.0,3,0,1,0
54E43A10D04D,2014-04-01 08:00:00.0,2014-04-01 11:00:00.0,2,0,1,0
54E43A10D04D,2014-04-01 08:00:00.0,2014-04-01 12:00:00.0,2,0,1,0
54E43A10D04D,2014-04-01 08:00:00.0,2014-04-01 13:00:00.0,2,0,0,0
54E43A10D04D,2014-04-01 08:00:00.0,2014-04-01 14:00:00.0,2,0,1,0
54E43A10D04D,2014-04-01 08:00:00.0,2014-04-01 15:00:00.0,2,0,1,0
54E43A10D04D,2014-04-01 08:00:00.0,2014-04-01 16:00:00.0,2,0,1,0
54E43A10D04D,2014-04-01 08:00:00.0,2014-04-01 17:00:00.0,2,0,0,0
54E43A10D04D,2014-04-01 08:00:00.0,2014-04-01 18:00:00.0,3,0,0,0
54E43A10D04D,2014-04-01 08:00:00.0,2014-04-01 19:00:00.0,2,0,1,0
54E43A10D04D,2014-04-01 08:00:00.0,2014-04-01 20:00:00.0,3,27,1,27
54E43A10D04D,2014-04-01 08:00:00.0,2014-04-01 21:00:00.0,2,30,1,30
54E43A10D04D,2014-04-01 08:00:00.0,2014-04-01 22:00:00.0,3,30,1,30
2C282DD2F0A7,2014-04-01 08:00:00.0,2014-04-01 09:00:00.0,2,1,1,1
2C282DD2F0A7,2014-04-01 08:00:00.0,2014-04-01 10:00:00.0,2,1,0,1
2C282DD2F0A7,2014-04-01 08:00:00.0,2014-04-01 11:00:00.0,3,1,0,1
2C282DD2F0A7,2014-04-01 08:00:00.0,2014-04-01 12:00:00.0,2,1,1,1
2C282DD2F0A7,2014-04-01 08:00:00.0,2014-04-01 13:00:00.0,2,1,1,1
2C282DD2F0A7,2014-04-01 08:00:00.0,2014-04-01 14:00:00.0,2,1,0,1
2C282DD2F0A7,2014-04-01 08:00:00.0,2014-04-01 15:00:00.0,3,1,0,1
2C282DD2F0A7,2014-04-01 08:00:00.0,2014-04-01 16:00:00.0,3,1,0,1
2C282DD2F0A7,2014-04-01 08:00:00.0,2014-04-01 17:00:00.0,3,1,1,1
2C282DD2F0A7,2014-04-01 08:00:00.0,2014-04-01 18:00:00.0,3,1,0,1
2C282DD2F0A7,2014-04-01 08:00:00.0,2014-04-01 19:00:00.0,3,1,1,1
2C282DD2F0A7,2014-04-01 08:00:00.0,2014-04-01 20:00:00.0,3,1,0,1
2C282DD2F0A7,2014-04-01 08:00:00.0,2014-04-01 21:00:00.0,3,1,0,1
2C282DD2F0A7,2014-04-01 08:00:00.0,2014-04-01 22:00:00.0,2,1,1,1
18AF612A130F,2014-04-01 08:00:00.0,2014-04-01 09:00:00.0,2,0,1,0
18AF612A130F,2014-04-01 08:00:00.0,2014-04-01 10:00:00.0,2,0,1,0
18AF612A130F,2014-04-01 08:00:00.0,2014-04-01 11:00:00.0,2,0,1,0
18AF612A130F,2014-04-01 08:00:00.0,2014-04-01 12:00:00.0,2,0,0,0
18AF612A130F,2014-04-01 08:00:00.0,2014-04-01 13:00:00.0,2,4,1,4
18AF612A130F,2014-04-01 08:00:00.0,2014-04-01 14:00:00.0,2,4,1,4
18AF612A130F,2014-04-01 08:00:00.0,2014-04-01 15:00:00.0,3,8,1,8
18AF612A130F,2014-04-01 08:00:00.0,2014-04-01 16:00:00.0,3,8,1,8
18AF612A130F,2014-04-01 08:00:00.0,2014-04-01 17:00:00.0,3,8,1,8
18AF612A130F,2014-04-01 08:00:00.0,2014-04-01 18:00:00.0,3,8,0,8
18AF612A130F,2014-04-01 08:00:00.0,2014-04-01 19:00:00.0,2,8,1,8
18AF612A130F,2014-04-01 08:00:00.0,2014-04-01 20:00:00.0,2,8,1,8
18AF612A130F,2014-04-01 08:00:00.0,2014-04-01 21:00:00.0,2,8,1,8
18AF612A130F,2014-04-01 08:00:00.0,2014-04-01 22:00:00.0,2,8,1,8
3423BA8B62C5,2014-04-01 08:00:00.0,2014-04-01 09:00:00.0,2,0,0,0
3423BA8B62C5,2014-04-01 08:00:00.0,2014-04-01 10:00:00.0,3,0,1,0
3423BA8B62C5,2014-04-01 08:00:00.0,2014-04-01 11:00:00.0,3,0,1,0
3423BA8B62C5,2014-04-01 08:00:00.0,2014-04-01 12:00:00.0,2,0,1,0
3423BA8B62C5,2014-04-01 08:00:00.0,2014-04-01 13:00:00.0,2,0,1,0
3423BA8B62C5,2014-04-01 08:00:00.0,2014-04-01 14:00:00.0,2,0,0,0
3423BA8B62C5,2014-04-01 08:00:00.0,2014-04-01 15:00:00.0,2,0,1,0
3423BA8B62C5,2014-04-01 08:00:00.0,2014-04-01 16:00:00.0,2,0,0,0
3423BA8B62C5,2014-04-01 08:00:00.0,2014-04-01 17:00:00.0,2,8,0,8
3423BA8B62C5,2014-04-01 08:00:00.0,2014-04-01 18:00:00.0,2,8,1,8
3423BA8B62C5,2014-04-01 08:00:00.0,2014-04-01 19:00:00.0,2,8,1,8
3423BA8B62C5,2014-04-01 08:00:00.0,2014-04-01 20:00:00.0,2,8,1,8
3423BA8B62C5,2014-04-01 08:00:00.0,2014-04-01 21:00:00.0,2,8,1,8
3423BA8B62C5,2014-04-01 08:00:00.0,2014-04-01 22:00:00.0,2,8,1,8
9E8890B4722E,2014-04-01 08:00:00.0,2014-04-01 09:00:00.0,2,0,0,0
9E8890B4722E,2014-04-01 08:00:00.0,2014-04-01 10:00:00.0,2,0,1,0
9E8890B4722E,2014-04-01 08:00:00.0,2014-04-01 11:00:00.0,2,0,0,0
9E8890B4722E,2014-04-01 08:00:00.0,2014-04-01 12:00:00.0,3,0,0,0
9E8890B4722E,2014-04-01 08:00:00.0,2014-04-01 13:00:00.0,2,0,0,0
9E8890B4722E,2014-04-01 08:00:00.0,2014-04-01 14:00:00.0,2,7,0,7
9E8890B4722E,2014-04-01 08:00:00.0,2014-04-01 15:00:00.0,2,7,1,7
9E8890B4722E,2014-04-01 08:00:00.0,2014-04-01 16:00:00.0,2,7,0,7
9E8890B4722E,2014-04-01 08:00:00.0,2014-04-01 17:00:00.0,3,7,1,7
9E8890B4722E,2014-04-01 08:00:00.0,2014-04-01 18:00:00.0,2,7,1,7
9E8890B4722E,2014-04-01 08:00:00.0,2014-04-01 19:00:00.0,3,7,0,7
9E8890B4722E,2014-04-01 08:00:00.0,2014-04-01 20:00:00.0,3,7,0,7
9E8890B4722E,2014-04-01 08:00:00.0,2014-04-01 21:00:00.0,2,7,1,7
9E8890B4722E,2014-04-01 08:00:00.0,2014-04-01 22:00:00.0,2,7,0,7
F4F15A69CE2E,2014-04-01 08:00:00.0,2014-04-01 09:00:00.0,1,0,1,0
F4F15A69CE2E,2014-04-01 08:00:00.0,2014-04-01 10:00:00.0,2,0,1,0
F4F15A69CE2E,2014-04-01 08:00:00.0,2014-04-01 11:00:00.0,2,0,0,0
F4F15A69CE2E,2014-04-01 08:00:00.0,2014-04-01 12:00:00.0,2,0,1,0
F4F15A69CE2E,2014-04-01 08:00:00.0,2014-04-01 13:00:00.0,1,0,0,0
F4F15A69CE2E,2014-04-01 08:00:00.0,2014-04-01 14:00:00.0,2,0,0,0
F4F15A69CE2E,2014-04-01 08:00:00.0,2014-04-01 15:00:00.0,2,0,1,0
F4F15A69CE2E,2014-04-01 08:00:00.0,2014-04-01 16:00:00.0,1,0,0,0
F4F15A69CE2E,2014-04-01 08:00:00.0,2014-04-01 17:00:00.0,2,0,1,0
F4F15A69CE2E,2014-04-01 08:00:00.0,2014-04-01 18:00:00.0,2,0,1,0
F4F15A69CE2E,2014-04-01 08:00:00.0,2014-04-01 19:00:00.0,2,0,1,0
F4F15A69CE2E,2014-04-01 08:00:00.0,2014-04-01 20:00:00.0,2,0,1,0
F4F15A69CE2E,2014-04-01 08:00:00.0,2014-04-01 21:00:00.0,2,1,0,1
F4F15A69CE2E,2014-04-01 08:00:00.0,2014-04-01 22:00:00.0,3,1,1,1
78F5FDE2AB88,2014-04-01 08:00:00.0,2014-04-01 09:00:00.0,3,0,0,0
78F5FDE2AB88,2014-04-01 08:00:00.0,2014-04-01 10:00:00.0,3,0,0,0
78F5FDE2AB88,2014-04-01 08:00:00.0,2014-04-01 11:00:00.0,3,0,0,0
78F5FDE2AB88,2014-04-01 08:00:00.0,2014-04-01 12:00:00.0,3,0,0,0
78F5FDE2AB88,2014-04-01 08:00:00.0,2014-04-01 13:00:00.0,2,9,1,9
78F5FDE2AB88,2014-04-01 08:00:00.0,2014-04-01 14:00:00.0,3,9,1,9
78F5FDE2AB88,2014-04-01 08:00:00.0,2014-04-01 15:00:00.0,3,9,0,9
78F5FDE2AB88,2014-04-01 08:00:00.0,2014-04-01 16:00:00.0,3,9,1,9
78F5FDE2AB88,2014-04-01 08:00:00.0,2014-04-01 17:00:00.0,2,9,1,9
78F5FDE2AB88,2014-04-01 08:00:00.0,2014-04-01 18:00:00.0,2,9,1,9
78F5FDE2AB88,2014-04-01 08:00:00.0,2014-04-01 19:00:00.0,2,9,1,9
78F5FDE2AB88,2014-04-01 08:00:00.0,2014-04-01 20:00:00.0,2,9,1,9
78F5FDE2AB88,2014-04-01 08:00:00.0,2014-04-01 21:00:00.0,3,9,0,9
78F5FDE2AB88,2014-04-01 08:00:00.0,2014-04-01 22:00:00.0,3,9,1,9
3CD0F8985915,2014-04-01 08:00:00.0,2014-04-01 09:00:00.0,2,0,1,0
3CD0F8985915,2014-04-01 08:00:00.0,2014-04-01 10:00:00.0,2,0,1,0
3CD0F8985915,2014-04-01 08:00:00.0,2014-04-01 11:00:00.0,2,0,0,0
3CD0F8985915,2014-04-01 08:00:00.0,2014-04-01 12:00:00.0,2,0,1,0
3CD0F8985915,2014-04-01 08:00:00.0,2014-04-01 13:00:00.0,2,1,1,1
3CD0F8985915,2014-04-01 08:00:00.0,2014-04-01 14:00:00.0,3,5,1,5
3CD0F8985915,2014-04-01 08:00:00.0,2014-04-01 15:00:00.0,2,5,1,5
3CD0F8985915,2014-04-01 08:00:00.0,2014-04-01 16:00:00.0,2,5,1,5
3CD0F8985915,2014-04-01 08:00:00.0,2014-04-01 17:00:00.0,3,5,0,5
3CD0F8985915,2014-04-01 08:00:00.0,2014-04-01 18:00:00.0,2,5,1,5
3CD0F8985915,2014-04-01 08:00:00.0,2014-04-01 19:00:00.0,2,5,1,5
3CD0F8985915,2014-04-01 08:00:00.0,2014-04-01 20:00:00.0,2,5,1,5
3CD0F8985915,2014-04-01 08:00:00.0,2014-04-01 21:00:00.0,2,5,1,5
3CD0F8985915,2014-04-01 08:00:00.0,2014-04-01 22:00:00.0,3,5,1,5
80EA96546E17,2014-04-01 08:00:00.0,2014-04-01 09:00:00.0,2,0,1,0
80EA96546E17,2014-04-01 08:00:00.0,2014-04-01 10:00:00.0,2,0,0,0
80EA96546E17,2014-04-01 08:00:00.0,2014-04-01 11:00:00.0,2,0,0,0
80EA96546E17,2014-04-01 08:00:00.0,2014-04-01 12:00:00.0,2,0,0,0
80EA96546E17,2014-04-01 08:00:00.0,2014-04-01 13:00:00.0,1,0,1,0
80EA96546E17,2014-04-01 08:00:00.0,2014-04-01 14:00:00.0,2,0,0,0
80EA96546E17,2014-04-01 08:00:00.0,2014-04-01 15:00:00.0,2,0,0,0
80EA96546E17,2014-04-01 08:00:00.0,2014-04-01 16:00:00.0,2,19,1,20
80EA96546E17,2014-04-01 08:00:00.0,2014-04-01 17:00:00.0,2,19,0,20
80EA96546E17,2014-04-01 08:00:00.0,2014-04-01 18:00:00.0,2,19,1,20
80EA96546E17,2014-04-01 08:00:00.0,2014-04-01 19:00:00.0,2,19,0,20
80EA96546E17,2014-04-01 08:00:00.0,2014-04-01 20:00:00.0,2,19,0,20
80EA96546E17,2014-04-01 08:00:00.0,2014-04-01 21:00:00.0,2,19,1,20
80EA96546E17,2014-04-01 08:00:00.0,2014-04-01 22:00:00.0,2,19,0,20
885395E2F7C6,2014-04-01 08:00:00.0,2014-04-01 09:00:00.0,3,0,0,0
885395E2F7C6,2014-04-01 08:00:00.0,2014-04-01 10:00:00.0,2,0,0,0
885395E2F7C6,2014-04-01 08:00:00.0,2014-04-01 11:00:00.0,2,0,1,0
885395E2F7C6,2014-04-01 08:00:00.0,2014-04-01 12:00:00.0,2,0,1,0
885395E2F7C6,2014-04-01 08:00:00.0,2014-04-01 13:00:00.0,2,23,1,23
885395E2F7C6,2014-04-01 08:00:00.0,2014-04-01 14:00:00.0,2,23,0,23
885395E2F7C6,2014-04-01 08:00:00.0,2014-04-01 15:00:00.0,3,23,0,23
885395E2F7C6,2014-04-01 08:00:00.0,2014-04-01 16:00:00.0,3,23,0,23
885395E2F7C6,2014-04-01 08:00:00.0,2014-04-01 17:00:00.0,2,23,1,23
885395E2F7C6,2014-04-01 08:00:00.0,2014-04-01 18:00:00.0,2,23,1,23
885395E2F7C6,2014-04-01 08:00:00.0,2014-04-01 19:00:00.0,2,23,0,23
885395E2F7C6,2014-04-01 08:00:00.0,2014-04-01 20:00:00.0,3,23,0,23
885395E2F7C6,2014-04-01 08:00:00.0,2014-04-01 21:00:00.0,3,23,1,23
885395E2F7C6,2014-04-01 08:00:00.0,2014-04-01 22:00:00.0,1,23,0,23
14F42AFBAFF8,2014-04-01 08:00:00.0,2014-04-01 09:00:00.0,2,0,1,0
14F42AFBAFF8,2014-04-01 08:00:00.0,2014-04-01 10:00:00.0,1,0,1,0
14F42AFBAFF8,2014-04-01 08:00:00.0,2014-04-01 11:00:00.0,2,0,0,0
14F42AFBAFF8,2014-04-01 08:00:00.0,2014-04-01 12:00:00.0,3,26,1,26
14F42AFBAFF8,2014-04-01 08:00:00.0,2014-04-01 13:00:00.0,2,28,1,28
14F42AFBAFF8,2014-04-01 08:00:00.0,2014-04-01 14:00:00.0,2,28,1,28
14F42AFBAFF8,2014-04-01 08:00:00.0,2014-04-01 15:00:00.0,4,28,1,28
14F42AFBAFF8,2014-04-01 08:00:00.0,2014-04-01 16:00:00.0,3,120,2,121
14F42AFBAFF8,2014-04-01 08:00:00.0,2014-04-01 17:00:00.0,3,120,2,121
14F42AFBAFF8,2014-04-01 08:00:00.0,2014-04-01 18:00:00.0,3,120,2,121
